@relation 'one.hit.wonder.dataset-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Discretize-B6-M-1.0-R1-precision0-weka.filters.unsupervised.attribute.Discretize-F-B8-M-1.0-R20-precision0-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-R30-precision0-weka.filters.unsupervised.attribute.Discretize-B8-M-1.0-R31-precision2-weka.filters.unsupervised.attribute.Discretize-F-B8-M-1.0-R32-precision2-weka.filters.unsupervised.attribute.Discretize-F-B8-M-1.0-R33-precision0-weka.filters.unsupervised.attribute.Discretize-F-B8-M-1.0-R35-precision0-weka.filters.unsupervised.attribute.Discretize-F-B8-M-1.0-R36-precision0-weka.filters.unsupervised.attribute.Discretize-F-B14-M-1.0-R37-precision0-weka.filters.unsupervised.attribute.Discretize-F-B8-M-1.0-R38-precision0-weka.filters.unsupervised.attribute.Remove-R34,40-weka.filters.unsupervised.attribute.Remove-R33-weka.filters.unsupervised.attribute.Remove-R19-weka.filters.unsupervised.attribute.Remove-R16-weka.filters.unsupervised.attribute.Remove-R13-weka.filters.unsupervised.attribute.Remove-R6,9,13,15,18,22'

@attribute INTRO_LEN {'\'(-inf-12]\'','\'(12-23]\'','\'(23-35]\'','\'(35-inf)\''}
@attribute TEMPO {<80,80-95,95-110,111-120,121-130,>130}
@attribute GENRE {country,disco,edm,electro-indie,folk,folk-rock,indie-rock,pop,pop-rock,r&b,rock,soul}
@attribute LEAD_SING {male,female,f-duet,m-duet,mf-duet}
@attribute KEY_VS {AbMAJ,Am,AMAJ,Bbm,BbMAJ,Bm,BMAJ,C#m,Cm,CMAJ,DbMAJ,Dm,DMAJ,Ebm,EbMAJ,Em,EMAJ,F#m,F#MAJ,Fm,FMAJ,G#m,Gm,GMAJ}
@attribute VS_STARTS_ON_I {TRUE,FALSE}
@attribute IONIAN_VS_KEY {AbMAJ,AMAJ,BbMAJ,BMAJ,CMAJ,DbMAJ,DMAJ,EbMAJ,EMAJ,F#MAJ,FMAJ,GMAJ}
@attribute VS_DISTINCT_CHRD_COUNT {1,2,3,4,>4}
@attribute VS_CH_SAME_CHRDS {TRUE,FALSE}
@attribute VS_KEY_CHNGS {yes,no}
@attribute CH_STARTS_ON_I {TRUE,FALSE}
@attribute CH_DISTINCT_CHRD_COUNT {1,2,3,4,>4}
@attribute SONG_TOTAL_CHORD_COUNT {'\'(-inf-3]\'','\'(3-4]\'','\'(4-5]\'','\'(5-6]\'','\'(6-7]\'','\'(7-8]\'','\'(8-11]\'','\'(11-inf)\''}
@attribute VS_TL_START_NOTE {1,2,3,4,5,6,7}
@attribute VS_TL_DISTINCT_NOTES {1,2,3,4}
@attribute VS_TL_TYPE {mixed-harm,thirds,fifths,sevenths,roots,pedal,triad-notes,four-note-chord,pedal-triad,pedal-four}
@attribute CH_TL_START_NOTE {1,2,3,4,5,6,7}
@attribute CH_TL_DISTINCT_NOTES {1,2,3,4}
@attribute CH_TL_TYPE {mixed-harm,thirds,fifths,sevenths,roots,pedal,triad-notes,four-note-chord,pedal-triad,pedal-four}
@attribute DRUM_PAT {rockbeat-var,dancebeat,moneybeat,latinbeat,hiphopbeat,slowjam,none,motownbeat,folkpercussion}
@attribute LINE_REP {'\'(-inf-7]\'','\'(7-14]\'','\'(14-21]\'','\'(21-28]\'','\'(28-35]\'','\'(35-41]\'','\'(41-51)\'','\'(51-inf)\''}
@attribute LYR_GRADE_LVL {'\'(-inf--1.72]\'','\'(-1.72--0.85]\'','\'(-0.85-0.01]\'','\'(0.01-0.88]\'','\'(0.88-1.75]\'','\'(1.75-2.61]\'','\'(2.61-3.47]\'','\'(3.47-inf)\''}
@attribute TOTAL_WORDS {'\'(-inf-187]\'','\'(187-212.5]\'','\'(212.5-249]\'','\'(249-286.5]\'','\'(286.5-328.5]\'','\'(328.5-372.5]\'','\'(372.5-405.5]\'','\'(405.5-inf)\''}
@attribute TITLE_REPEATS {'\'(-inf-3]\'','\'(3-5]\'','\'(5-7]\'','\'(7-9]\'','\'(9-11]\'','\'(11-14]\'','\'(14-18]\'','\'(18-inf)\''}
@attribute DISTINCT_HITWORDS {'\'(-inf-2]\'','\'(2-3]\'','\'(3-4]\'','\'(4-5]\'','\'(5-6]\'','\'(6-7]\'','\'(7-8]\'','\'(8-inf)\''}
@attribute HITWORDS_TOTAL {'\'(-inf-2]\'','\'(2-5]\'','\'(5-7]\'','\'(7-9]\'','\'(9-10]\'','\'(10-11]\'','\'(11-13]\'','\'(13-17]\'','\'(17-20]\'','\'(20-22]\'','\'(22-26]\'','\'(26-37]\'','\'(37-49]\'','\'(49-inf)\''}
@attribute RHYMECOUNT {'\'(-inf-8]\'','\'(8-11]\'','\'(11-13]\'','\'(13-16]\'','\'(16-19]\'','\'(19-23]\'','\'(23-31]\'','\'(31-inf)\''}
@attribute LYR_ARCHETYPE {lover,vulnerable,innuendist,innocent,ruler,sage,hero,political,explorer,partier,tribute,joker}
@attribute HIT_WRITER {yes,no}
@attribute CHART_POS {HIT,miss}

@data
'\'(12-23]\'',>130,pop,mf-duet,DMAJ,TRUE,DMAJ,3,FALSE,no,TRUE,4,'\'(5-6]\'',1,3,triad-notes,4,3,mixed-harm,none,'\'(7-14]\'','\'(1.75-2.61]\'','\'(-inf-187]\'','\'(7-9]\'','\'(-inf-2]\'','\'(2-5]\'','\'(8-11]\'',lover,no,HIT
'\'(-inf-12]\'',80-95,pop,male,DMAJ,TRUE,DMAJ,3,FALSE,no,FALSE,3,'\'(5-6]\'',3,2,thirds,1,1,roots,rockbeat-var,'\'(7-14]\'','\'(0.88-1.75]\'','\'(249-286.5]\'','\'(5-7]\'','\'(4-5]\'','\'(11-13]\'','\'(8-11]\'',lover,no,miss
'\'(23-35]\'',80-95,pop,male,AMAJ,FALSE,AMAJ,4,FALSE,no,TRUE,4,'\'(7-8]\'',3,2,thirds,1,1,roots,rockbeat-var,'\'(7-14]\'','\'(-inf--1.72]\'','\'(-inf-187]\'','\'(14-18]\'','\'(5-6]\'','\'(10-11]\'','\'(8-11]\'',lover,no,HIT
'\'(12-23]\'',121-130,pop,male,Am,TRUE,CMAJ,4,FALSE,no,FALSE,3,'\'(6-7]\'',2,4,mixed-harm,3,4,four-note-chord,dancebeat,'\'(14-21]\'','\'(-0.85-0.01]\'','\'(-inf-187]\'','\'(14-18]\'','\'(3-4]\'','\'(22-26]\'','\'(-inf-8]\'',lover,no,miss
'\'(-inf-12]\'',80-95,edm,female,Ebm,TRUE,F#MAJ,4,TRUE,no,TRUE,4,'\'(4-5]\'',3,2,thirds,5,4,mixed-harm,dancebeat,'\'(21-28]\'','\'(0.01-0.88]\'','\'(-inf-187]\'','\'(11-14]\'','\'(3-4]\'','\'(2-5]\'','\'(8-11]\'',vulnerable,no,HIT
'\'(-inf-12]\'',80-95,edm,female,Em,TRUE,GMAJ,2,FALSE,no,FALSE,4,'\'(5-6]\'',3,3,triad-notes,3,1,thirds,dancebeat,'\'(7-14]\'','\'(0.01-0.88]\'','\'(-inf-187]\'','\'(7-9]\'','\'(3-4]\'','\'(5-7]\'','\'(8-11]\'',lover,no,miss
'\'(12-23]\'',121-130,disco,female,Cm,TRUE,EbMAJ,3,TRUE,no,TRUE,3,'\'(3-4]\'',3,3,mixed-harm,3,4,mixed-harm,moneybeat,'\'(7-14]\'','\'(-0.85-0.01]\'','\'(212.5-249]\'','\'(18-inf)\'','\'(5-6]\'','\'(9-10]\'','\'(-inf-8]\'',innuendist,yes,HIT
'\'(35-inf)\'',111-120,soul,female,FMAJ,TRUE,FMAJ,>4,FALSE,yes,TRUE,2,'\'(11-inf)\'',5,2,fifths,7,3,triad-notes,latinbeat,'\'(7-14]\'','\'(0.88-1.75]\'','\'(-inf-187]\'','\'(-inf-3]\'','\'(2-3]\'','\'(5-7]\'','\'(13-16]\'',lover,yes,miss
'\'(-inf-12]\'',>130,edm,female,Am,TRUE,CMAJ,4,TRUE,no,TRUE,4,'\'(8-11]\'',1,2,fifths,1,2,fifths,dancebeat,'\'(35-41]\'','\'(-0.85-0.01]\'','\'(405.5-inf)\'','\'(5-7]\'','\'(4-5]\'','\'(49-inf)\'','\'(11-13]\'',innocent,no,HIT
'\'(12-23]\'',>130,edm,mf-duet,Bm,TRUE,DMAJ,3,FALSE,no,TRUE,4,'\'(8-11]\'',1,2,roots,5,2,fifths,dancebeat,'\'(28-35]\'','\'(-0.85-0.01]\'','\'(328.5-372.5]\'','\'(5-7]\'','\'(7-8]\'','\'(13-17]\'','\'(31-inf)\'',lover,no,miss
'\'(35-inf)\'',<80,electro-indie,male,Ebm,TRUE,F#MAJ,3,TRUE,no,TRUE,3,'\'(4-5]\'',3,3,pedal,3,3,pedal,hiphopbeat,'\'(21-28]\'','\'(-inf--1.72]\'','\'(-inf-187]\'','\'(18-inf)\'','\'(5-6]\'','\'(26-37]\'','\'(-inf-8]\'',vulnerable,no,HIT
'\'(12-23]\'',>130,indie-rock,male,Dm,TRUE,FMAJ,4,FALSE,no,TRUE,4,'\'(5-6]\'',3,4,pedal,3,2,fifths,rockbeat-var,'\'(41-51)\'','\'(-0.85-0.01]\'','\'(372.5-405.5]\'','\'(18-inf)\'','\'(8-inf)\'','\'(49-inf)\'','\'(16-19]\'',lover,no,miss
'\'(-inf-12]\'',121-130,country,male,AMAJ,TRUE,AMAJ,2,TRUE,no,TRUE,2,'\'(-inf-3]\'',3,3,triad-notes,3,3,triad-notes,rockbeat-var,'\'(14-21]\'','\'(0.01-0.88]\'','\'(249-286.5]\'','\'(7-9]\'','\'(5-6]\'','\'(20-22]\'','\'(13-16]\'',lover,no,HIT
'\'(12-23]\'',111-120,country,male,GMAJ,TRUE,GMAJ,2,FALSE,no,FALSE,3,'\'(8-11]\'',5,2,fifths,1,2,roots,rockbeat-var,'\'(21-28]\'','\'(-1.72--0.85]\'','\'(328.5-372.5]\'','\'(14-18]\'','\'(5-6]\'','\'(5-7]\'','\'(16-19]\'',lover,no,miss
